Wavelength (nm),Irradiance (W/m^2/nm)
509.0,1.5847
510.0,1.5436
511.0,1.5723
512.0,1.6139
513.0,1.5162
514.0,1.4842
515.0,1.527
516.0,1.541
517.0,1.2557
518.0,1.4361
519.0,1.3917
520.0,1.5192
521.0,1.5301
522.0,1.5644
523.0,1.4746
524.0,1.5859
525.0,1.5735
526.0,1.5297
527.0,1.3378
528.0,1.5312
529.0,1.6024
530.0,1.5401
531.0,1.6245
532.0,1.5952
533.0,1.4245
534.0,1.5258
535.0,1.549
536.0,1.6152
537.0,1.4946
538.0,1.5692
539.0,1.5307
540.0,1.4782
541.0,1.421
542.0,1.5466
543.0,1.5212
544.0,1.5746
545.0,1.539
546.0,1.5247
547.0,1.5445
548.0,1.5005
549.0,1.5475
550.0,1.5354
551.0,1.5337
552.0,1.5651
553.0,1.5206
554.0,1.5504
555.0,1.5589
556.0,1.5321
557.0,1.4945
558.0,1.5266
559.0,1.4441
560.0,1.4697
561.0,1.555
562.0,1.4804
563.0,1.5363
564.0,1.5062
565.0,1.5157
566.0,1.4332
567.0,1.5276
568.0,1.5136
569.0,1.4764
570.0,1.4773
571.0,1.4289
572.0,1.509
573.0,1.5154
574.0,1.5075
575.0,1.4734
576.0,1.4612
577.0,1.4979
578.0,1.4518
579.0,1.4727
580.0,1.4976
581.0,1.5045
582.0,1.5276
583.0,1.5434
584.0,1.5403
585.0,1.528
586.0,1.491
587.0,1.5237
588.0,1.4891
589.0,1.2857
590.0,1.3669
591.0,1.4619
592.0,1.4312
593.0,1.4519
594.0,1.4449
595.0,1.4267
596.0,1.4702
597.0,1.4745
598.0,1.4565
599.0,1.4564
600.0,1.471
601.0,1.4537
602.0,1.4318
603.0,1.4621
604.0,1.4878
605.0,1.4852
606.0,1.4779
607.0,1.4868
608.0,1.4819
609.0,1.4706
610.0,1.4643
611.0,1.4569
612.0,1.4788
613.0,1.4579
614.0,1.4135
615.0,1.4654
616.0,1.4269
617.0,1.4087
618.0,1.4621
619.0,1.469
620.0,1.4696
621.0,1.4759
622.0,1.4228
623.0,1.4124
624.0,1.4077
625.0,1.3985
626.0,1.3971
627.0,1.4375
628.0,1.3591
629.0,1.4073
630.0,1.3884
631.0,1.412
632.0,1.3598
633.0,1.4466
634.0,1.4243
635.0,1.4416
636.0,1.4087
637.0,1.4568
638.0,1.4664
639.0,1.4604
640.0,1.4298
641.0,1.4306
642.0,1.4334
643.0,1.4483
644.0,1.442
645.0,1.4525
646.0,1.4109
647.0,1.4045
648.0,1.3912
649.0,1.348
650.0,1.3555
651.0,1.4405
652.0,1.3831
653.0,1.4269
654.0,1.4112
655.0,1.346
656.0,1.1817
657.0,1.2357
658.0,1.3815
659.0,1.3865
660.0,1.3951
661.0,1.3893
662.0,1.3779
663.0,1.3804
664.0,1.3926
665.0,1.4173
666.0,1.4162
667.0,1.4061
668.0,1.4109
669.0,1.4352
670.0,1.4155
671.0,1.4128
672.0,1.3931
673.0,1.4053
674.0,1.4033
675.0,1.3918
676.0,1.4079
677.0,1.395
678.0,1.4025
679.0,1.3907
680.0,1.3928
681.0,1.3875
682.0,1.394
683.0,1.379
684.0,1.3699
685.0,1.3708
686.0,1.3399
687.0,0.9654
688.0,1.1174
689.0,1.1245
690.0,1.1787
691.0,1.2297
692.0,1.2652
693.0,1.2572
694.0,1.2428
695.0,1.2677
696.0,1.2647
697.0,1.3364
698.0,1.3154
699.0,1.2881
700.0,1.2786
701.0,1.2622
702.0,1.2637
703.0,1.271
704.0,1.304
705.0,1.3176
706.0,1.3106
707.0,1.3052
708.0,1.301
709.0,1.3057
710.0,1.3137
711.0,1.3117
712.0,1.3033
713.0,1.2881
714.0,1.2991
715.0,1.255
716.0,1.2679
717.0,1.1039
718.0,1.0266
719.0,0.9205
720.0,0.9826
721.0,1.083
722.0,1.2371
723.0,1.1411
724.0,1.0524
725.0,1.035
726.0,1.0782
727.0,1.0819
728.0,1.037
729.0,1.0436
730.0,1.1252
731.0,1.0672
732.0,1.1501
733.0,1.1927
734.0,1.2321
735.0,1.2143
736.0,1.2024
737.0,1.2004
738.0,1.2233
739.0,1.187
740.0,1.216
741.0,1.2113
742.0,1.2118
743.0,1.2369
744.0,1.2467
745.0,1.2461
746.0,1.2434
747.0,1.2441
748.0,1.2365
749.0,1.2321
750.0,1.2305
751.0,1.225
752.0,1.2294
753.0,1.223
754.0,1.2384
755.0,1.2347
756.0,1.2197
757.0,1.2186
758.0,1.2259
759.0,1.191
760.0,0.2653
761.0,0.1535
762.0,0.6857
763.0,0.3784
764.0,0.5372
765.0,0.684
766.0,0.8122
767.0,0.9713
768.0,1.1106
769.0,1.1245
770.0,1.1574
771.0,1.1652
772.0,1.1744
773.0,1.1737
774.0,1.1737
775.0,1.1737
776.0,1.1764
777.0,1.1693
778.0,1.1679
779.0,1.1731
780.0,1.1602
781.0,1.1573
782.0,1.1628
783.0,1.158
784.0,1.1503
785.0,1.1552
786.0,1.1558
787.0,1.1417
788.0,1.1272
789.0,1.1224
790.0,1.0878
791.0,1.1026
792.0,1.0921
793.0,1.0843
794.0,1.094
795.0,1.09
796.0,1.0711
797.0,1.0881
798.0,1.1089
799.0,1.0873
800.0,1.0694
801.0,1.0812
802.0,1.0825
803.0,1.0626
804.0,1.0751
805.0,1.0514
